,정보공시 학교코드,학교명,1학년 학생수,학교도로명 주소,위도,경도
95,S010000945,서울잠전초등학교,70,서울특별시 송파구 올림픽로12길 51,37.5073393539,127.0838483213
96,S010000946,서울중대초등학교,174,서울특별시 송파구 송파대로36길 8,37.4998109131,127.1136050041
97,S010000947,서울천동초등학교,139,서울특별시 강동구 성안로 200,37.541015002,127.1378275942
98,S010000948,서울천일초등학교,47,서울특별시 강동구 구천면로 266,37.5443609471,127.1334387548
99,S010000949,서울천호초등학교,113,서울특별시 강동구 구천면로 310-11,37.5477198694,127.1365906345
100,S010000950,서울토성초등학교,103,서울특별시 송파구 풍성로20길 44,37.5318810579,127.1156312759
101,S010000951,서울평화초등학교,31,서울특별시 송파구 송파대로26길 22,37.491587,127.122669
102,S010000952,서울풍납초등학교,73,서울특별시 송파구 풍성로 43,37.5350864091,127.1178673953
103,S010000953,서울풍성초등학교,65,서울특별시 송파구 강동대로2길 13,37.5262933266,127.1134867705
104,S010000954,서울한산초등학교,105,서울특별시 강동구 풍성로 261,37.5280147,127.1414269
105,S010001004,서울가곡초등학교,131,서울특별시 강서구 공항대로36길 74,37.5557076032,126.8361018296
106,S010001005,서울가양초등학교,35,서울 강서구 허준로 186,37.5622165608,126.8585205401
107,S010001006,서울갈산초등학교,128,서울특별시 양천구 목동로 31,37.5119893354,126.8697989184
108,S010001007,서울강서초등학교,194,서울특별시 양천구 오목로 31,37.5224133541,126.8409892172
109,S010001008,서울강신초등학교,121,서울특별시 양천구 월정로 280,37.543019,126.8292741
110,S010001009,서울강월초등학교,102,서울특별시 양천구 신월로 97,37.5163409961,126.833432503
111,S010001010,서울개화초등학교,10,서울특별시 강서구 양천로 11,37.573669,126.804339
112,S010001011,서울경인초등학교,136,서울특별시 양천구 안양천로 1009,37.5328698484,126.8856977141
113,S010001012,서울계남초등학교,103,서울특별시 양천구 목동동로2길 54,37.5101693827,126.860016811
114,S010001013,서울공진초등학교,343,서울특별시 강서구 마곡서로 33,37.5578288729,126.8226110323
115,S010001014,서울공항초등학교,282,서울특별시 강서구 마곡서1로 68,37.563089237,126.8216478084
116,S010001015,서울남명초등학교,74,서울특별시 양천구 중앙로23길 3,37.5156835515,126.8540839052
117,S010001016,서울내발산초등학교,202,서울특별시 강서구 강서로46길 23,37.5515619,126.8379003
118,S010001017,서울등명초등학교,16,서울특별시 강서구 강서로56나길 34,37.56088,126.842329
119,S010001018,서울등서초등학교,39,서울특별시 강서구 화곡로58길 86,37.5518833087,126.8550363979
120,S010001019,서울등양초등학교,28,서울특별시 강서구 강서로56나길 140,37.5648029,126.8446617
121,S010001020,서울등원초등학교,32,서울특별시 강서구 화곡로65길 90,37.560326,126.850073
122,S010001021,서울등촌초등학교,94,서울특별시 강서구 등촌로39길 71,37.5476125061,126.8579416012
123,S010001022,서울등현초등학교,102,서울특별시 강서구 화곡로65길 124,37.5613697,126.8480367
124,S010001023,서울목동초등학교,190,서울특별시 양천구 목동동로12길 12,37.5228079602,126.8721200895
125,S010001024,서울목원초등학교,46,서울특별시 양천구 목동중앙로 204,37.5429362307,126.8824461323
126,S010001025,서울발산초등학교,149,서울특별시 강서구 강서로45길 113,37.550352,126.831075
127,S010001026,서울방화초등학교,97,서울특별시 강서구 양천로6길 92,37.568847,126.806877
128,S010001027,서울백석초등학교,98,서울특별시 강서구 공항대로 491,37.55357,126.86221
129,S010001028,서울삼정초등학교,41,서울특별시 강서구 금낭화로 222,37.5805078932,126.8104934611
130,S010001029,서울서정초등학교,127,서울특별시 양천구 목동로8길 19,37.523451293,126.8672365194
131,S010001030,서울송정초등학교,117,서울특별시 강서구 공항대로3길 18,37.562177,126.810898
132,S010001031,서울송화초등학교,200,서울특별시 강서구 방화대로34길 2,37.5681509143,126.8180316932
133,S010001032,서울신강초등학교,79,서울특별시 양천구 중앙로55길 72,37.526093,126.841651
134,S010001033,서울신곡초등학교,106,서울특별시 강서구 등촌로13자길 42-14,37.538577,126.855847
135,S010001034,서울신남초등학교,158,서울특별시 양천구 남부순환로83길,37.515897,126.844706
136,S010001035,서울신목초등학교,124,서울특별시 양천구 신목로5길 11-6,37.516832,126.872897
137,S010001036,서울신서초등학교,193,서울특별시 양천구 목동서로10길 35,37.5205588676,126.8623322121
138,S010001037,서울신원초등학교,78,서울특별시 양천구 남부순환로58길 32,37.5295157615,126.829864378
139,S010001038,서울신월초등학교,103,서울특별시 강서구 강서로31길 48,37.539986,126.839029
140,S010001039,서울신정초등학교,205,서울특별시 강서구 곰달래로31가길 27,37.5320724314,126.8523594393
141,S010001040,서울양강초등학교,75,서울특별시 양천구 오목로 101,37.5236040288,126.8474800727
142,S010001041,서울양동초등학교,53,서울특별시 양천구 오목로23길 24,37.526147,126.851111
143,S010001042,서울양명초등학교,81,서울특별시 양천구 중앙로 204,37.516375041,126.856634416
144,S010001043,서울양목초등학교,113,서울특별시 양천구 목동로11길 30,37.523916796,126.8614708124
145,S010001044,서울양원초등학교,43,서울특별시 양천구 화곡로 16,37.5382166977,126.8231055651
146,S010001045,서울양천초등학교,52,서울특별시 강서구 양천로 329,37.570127,126.839551
147,S010001046,서울양화초등학교,108,서울특별시 양천구 목동중앙북로16길 57,37.5436699282,126.8739854761
148,S010001048,서울염동초등학교,168,서울특별시 강서구 양천로73길 17,37.5520943077,126.8723507246
149,S010001049,서울염창초등학교,135,서울특별시 강서구 양천로 646-28,37.5532243333,126.8676001873
150,S010001050,서울영도초등학교,160,서울특별시 양천구 목동중앙로 70,37.5358029752,126.8720062563
151,S010001051,서울우장초등학교,139,서울특별시 강서구 화곡로 263,37.5496373729,126.8459830632
